Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Chemical_Name
Metocillin,Antibiotic,Capsule,174 mg,Pfizer Inc.,Virus,Over-the-Counter,Metformin
Ibuprophen,Antidiabetic,Capsule,939 mg,Sanofi S.A.,Fungus,Prescription,Ibuprofen
Dextromycin,Antidepressant,Tablet,589 mg,Biogen Inc.,Virus,Over-the-Counter,Azithromycin
Dolocillin,Antiseptic,Drops,387 mg,AbbVie Inc.,Pain,Prescription,Ibuprofen
Amoxicillin,Antifungal,Drops,332 mg,Roche Holding AG,Infection,Over-the-Counter,Amoxicillin
Amoxinazole,Antibiotic,Tablet,700 mg,Novo Nordisk A/S,Virus,Prescription,Amoxicillin
Amoxivir,Analgesic,Syrup,648 mg,AstraZeneca plc,Pain,Prescription,Amoxicillin
Amoxivir,Antibiotic,Syrup,859 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,Amoxicillin
Metonazole,Antiviral,Tablet,649 mg,Novartis AG,Virus,Over-the-Counter,Metronidazole
Clarinazole,Antidiabetic,Syrup,258 mg,Bayer AG,Diabetes,Prescription,Clarithromycin
Dolocillin,Antiviral,Cream,555 mg,Bristol-Myers Squibb Company,Virus,Prescription,Ibuprofen
Acetovir,Antibiotic,Syrup,578 mg,Pfizer Inc.,Diabetes,Prescription,Paracetamol
Metophen,Antifungal,Capsule,443 mg,Pfizer Inc.,Infection,Prescription,Metformin
Cefvir,Antiviral,Tablet,627 mg,"Merck & Co., Inc.",Pain,Over-the-Counter,Cefixime
Acetomycin,Antiviral,Drops,883 mg,CSL Limited,Fungus,Over-the-Counter,Amoxicillin
Dextrocillin,Antiviral,Inhaler,182 mg,Amgen Inc.,Diabetes,Prescription,Amoxicillin
Amoxiphen,Antifungal,Injection,572 mg,"Gilead Sciences, Inc.",Infection,Prescription,Amoxicillin
Dolonazole,Analgesic,Syrup,261 mg,Sanofi S.A.,Wound,Over-the-Counter,Metronidazole
Dolomet,Antibiotic,Ointment,430 mg,Biogen Inc.,Depression,Over-the-Counter,Paracetamol
Amoxicillin,Antiseptic,Inhaler,322 mg,Eli Lilly and Company,Fungus,Over-the-Counter,Amoxicillin
Dolophen,Antidiabetic,Capsule,565 mg,CSL Limited,Fever,Prescription,Paracetamol
Dextrovir,Antipyretic,Injection,407 mg,AbbVie Inc.,Infection,Prescription,Dextromethorphan
Acetomet,Antipyretic,Ointment,537 mg,Biogen Inc.,Infection,Over-the-Counter,Paracetamol
Cefprofen,Antiseptic,Cream,21 mg,Novo Nordisk A/S,Diabetes,Prescription,Cefixime
Metomycin,Antiseptic,Ointment,186 mg,AbbVie Inc.,Infection,Prescription,Metformin
Cefstatin,Antipyretic,Inhaler,296 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,Cefixime
Acetomet,Antidiabetic,Syrup,180 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,Paracetamol
Metomycin,Antiseptic,Inhaler,859 mg,Amgen Inc.,Infection,Over-the-Counter,Metformin
Metostatin,Antipyretic,Injection,413 mg,AbbVie Inc.,Fungus,Prescription,Metformin
Cefprofen,Antiviral,Tablet,191 mg,Sanofi S.A.,Fungus,Over-the-Counter,Cefixime
Dolostatin,Antibiotic,Tablet,698 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter,Ibuprofen
Acetovir,Antidiabetic,Cream,400 mg,Novartis AG,Fever,Over-the-Counter,Paracetamol
Clarimet,Antidepressant,Drops,579 mg,Biogen Inc.,Fever,Over-the-Counter,Clarithromycin
Dextrocillin,Antifungal,Inhaler,754 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,Amoxicillin
Ibuprostatin,Antidepressant,Ointment,340 mg,Amgen Inc.,Pain,Over-the-Counter,Ibuprofen
Ibuprovir,Antibiotic,Ointment,195 mg,Pfizer Inc.,Virus,Over-the-Counter,Ibuprofen
Metostatin,Antidepressant,Ointment,331 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter,Metformin
Amoxiprofen,Antidiabetic,Injection,674 mg,GlaxoSmithKline plc,Wound,Prescription,Amoxicillin
Cefphen,Analgesic,Syrup,853 mg,AstraZeneca plc,Virus,Over-the-Counter,Cefixime
Amoxiphen,Antipyretic,Tablet,641 mg,Johnson & Johnson,Fever,Over-the-Counter,Amoxicillin
Ibupromet,Antibiotic,Syrup,148 mg,GlaxoSmithKline plc,Infection,Prescription,Ibuprofen
Metophen,Antidiabetic,Tablet,612 mg,Novo Nordisk A/S,Pain,Over-the-Counter,Metformin
Ibuproprofen,Analgesic,Injection,314 mg,Biogen Inc.,Pain,Over-the-Counter,Ibuprofen
Ibuprocillin,Antidiabetic,Inhaler,491 mg,Pfizer Inc.,Wound,Over-the-Counter,Ibuprofen
Amoxinazole,Antibiotic,Ointment,801 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter,Amoxicillin
Dolocillin,Antiviral,Capsule,683 mg,AbbVie Inc.,Wound,Prescription,Ibuprofen
Ibupromycin,Antipyretic,Drops,155 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Azithromycin
Dolovir,Antipyretic,Syrup,889 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter,Paracetamol
Amoxistatin,Analgesic,Syrup,981 mg,Roche Holding AG,Fungus,Prescription,Amoxicillin
Acetomycin,Antidiabetic,Capsule,18 mg,Sanofi S.A.,Depression,Prescription,Amoxicillin
Cefmet,Antibiotic,Cream,256 mg,Boehringer Ingelheim GmbH,Virus,Prescription,Cefixime
Cefstatin,Analgesic,Ointment,870 mg,Pfizer Inc.,Fungus,Over-the-Counter,Cefixime
Clariprofen,Antidiabetic,Inhaler,39 mg,CSL Limited,Fever,Prescription,Clarithromycin
Acetoprofen,Analgesic,Syrup,137 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter,Ibuprofen
Cefvir,Antifungal,Syrup,419 mg,Roche Holding AG,Fever,Prescription,Cefixime
Metonazole,Antifungal,Injection,652 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Metronidazole
Cefmycin,Antidepressant,Inhaler,937 mg,CSL Limited,Wound,Over-the-Counter,Ceftriaxone
Dextrocillin,Antidepressant,Cream,743 mg,Johnson & Johnson,Fever,Prescription,Amoxicillin
Ibupromycin,Antipyretic,Drops,592 mg,Bristol-Myers Squibb Company,Infection,Prescription,Azithromycin
Ibuproprofen,Antidiabetic,Cream,972 mg,"Merck & Co., Inc.",Depression,Prescription,Ibuprofen
Dextroprofen,Antipyretic,Injection,467 mg,Eli Lilly and Company,Fungus,Over-the-Counter,Ibuprofen
Metomycin,Antifungal,Tablet,534 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Metformin
Metovir,Antipyretic,Capsule,829 mg,AstraZeneca plc,Virus,Prescription,Metformin
Metocillin,Analgesic,Tablet,632 mg,Sanofi S.A.,Pain,Prescription,Metformin
Amoxivir,Antibiotic,Syrup,487 mg,CSL Limited,Infection,Prescription,Amoxicillin
Dextronazole,Antiviral,Injection,8 mg,AstraZeneca plc,Fungus,Over-the-Counter,Metronidazole
Cefnazole,Antiviral,Tablet,703 mg,AbbVie Inc.,Fever,Prescription,Cefixime
Dextronazole,Antifungal,Capsule,390 mg,AbbVie Inc.,Diabetes,Over-the-Counter,Metronidazole
Amoxivir,Antiviral,Injection,192 mg,Bayer AG,Diabetes,Prescription,Amoxicillin
Dextrocillin,Antibiotic,Syrup,757 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription,Amoxicillin
Dextrocillin,Analgesic,Drops,66 mg,AstraZeneca plc,Virus,Over-the-Counter,Amoxicillin
Ibupronazole,Antipyretic,Cream,887 mg,AstraZeneca plc,Virus,Over-the-Counter,Ibuprofen
Acetophen,Antidiabetic,Tablet,699 mg,Amgen Inc.,Depression,Over-the-Counter,Paracetamol
Dolomet,Antidiabetic,Injection,424 mg,Johnson & Johnson,Depression,Prescription,Paracetamol
Acetophen,Antiseptic,Drops,980 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,Paracetamol
Clarimycin,Antidiabetic,Syrup,728 mg,CSL Limited,Virus,Prescription,Clarithromycin
Acetomet,Antiviral,Drops,835 mg,Sanofi S.A.,Diabetes,Prescription,Paracetamol
Dextrocillin,Antidepressant,Injection,902 mg,Sanofi S.A.,Diabetes,Prescription,Amoxicillin
Doloprofen,Antifungal,Inhaler,641 mg,AbbVie Inc.,Depression,Over-the-Counter,Ibuprofen
Ibuproprofen,Antidiabetic,Syrup,272 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter,Ibuprofen
Cefmet,Antibiotic,Inhaler,379 mg,Amgen Inc.,Fever,Prescription,Cefixime
Dolocillin,Antiseptic,Syrup,967 mg,GlaxoSmithKline plc,Infection,Prescription,Ibuprofen
Metostatin,Antipyretic,Cream,70 mg,Sanofi S.A.,Virus,Prescription,Metformin
Ibuprocillin,Antidiabetic,Injection,636 mg,Roche Holding AG,Diabetes,Over-the-Counter,Ibuprofen
Dolomycin,Antipyretic,Syrup,720 mg,Eli Lilly and Company,Virus,Prescription,Amoxicillin
Clarimycin,Antidiabetic,Ointment,841 mg,Novartis AG,Fever,Prescription,Clarithromycin
Clarimet,Antifungal,Inhaler,766 mg,Sanofi S.A.,Infection,Over-the-Counter,Clarithromycin
Amoxiprofen,Antidepressant,Injection,551 mg,Eli Lilly and Company,Infection,Prescription,Amoxicillin
Metomet,Antipyretic,Cream,990 mg,CSL Limited,Fungus,Over-the-Counter,Metformin
Amoxicillin,Antiviral,Injection,435 mg,Johnson & Johnson,Fungus,Over-the-Counter,Amoxicillin
Acetovir,Antibiotic,Injection,614 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Paracetamol
Acetocillin,Antibiotic,Cream,842 mg,AbbVie Inc.,Wound,Prescription,Paracetamol
Acetomycin,Antipyretic,Cream,301 mg,GlaxoSmithKline plc,Diabetes,Prescription,Amoxicillin
Dextrocillin,Antiseptic,Cream,773 mg,CSL Limited,Diabetes,Prescription,Amoxicillin
Cefvir,Antipyretic,Cream,187 mg,GlaxoSmithKline plc,Diabetes,Prescription,Cefixime
Metovir,Antiseptic,Cream,505 mg,Pfizer Inc.,Pain,Prescription,Metformin
Dextrocillin,Antibiotic,Syrup,45 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,Amoxicillin
Metophen,Antibiotic,Cream,704 mg,Bristol-Myers Squibb Company,Depression,Prescription,Metformin
Acetomet,Antifungal,Ointment,709 mg,Boehringer Ingelheim GmbH,Depression,Prescription,Paracetamol
Clariphen,Antiseptic,Ointment,618 mg,Bayer AG,Diabetes,Prescription,Clarithromycin
Doloprofen,Antipyretic,Cream,811 mg,Bayer AG,Diabetes,Over-the-Counter,Ibuprofen
Ibuprocillin,Antiviral,Injection,760 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,Ibuprofen
Dolophen,Antipyretic,Inhaler,476 mg,Biogen Inc.,Virus,Prescription,Paracetamol
Dolomet,Antidepressant,Ointment,405 mg,Biogen Inc.,Virus,Prescription,Paracetamol
Clarinazole,Antiviral,Ointment,222 mg,Pfizer Inc.,Pain,Over-the-Counter,Clarithromycin
Metocillin,Antiseptic,Cream,323 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Metformin
Dextronazole,Antifungal,Tablet,803 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter,Metronidazole
Clariphen,Antibiotic,Injection,261 mg,CSL Limited,Pain,Over-the-Counter,Clarithromycin
Metostatin,Antipyretic,Tablet,649 mg,Sanofi S.A.,Fever,Over-the-Counter,Metformin
Dolophen,Antidepressant,Syrup,459 mg,AstraZeneca plc,Fever,Prescription,Paracetamol
Metoprofen,Antifungal,Cream,155 mg,Sanofi S.A.,Wound,Over-the-Counter,Metformin
Acetoprofen,Antiviral,Ointment,331 mg,"Gilead Sciences, Inc.",Wound,Prescription,Ibuprofen
Ibuprostatin,Antiseptic,Inhaler,187 mg,GlaxoSmithKline plc,Fever,Prescription,Ibuprofen
Acetocillin,Antipyretic,Ointment,177 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Paracetamol
Dextrocillin,Antiviral,Inhaler,912 mg,Johnson & Johnson,Wound,Over-the-Counter,Amoxicillin
Cefmet,Antiseptic,Drops,759 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter,Cefixime
Ibupromet,Antibiotic,Tablet,671 mg,GlaxoSmithKline plc,Fungus,Prescription,Ibuprofen
Ibuprovir,Antipyretic,Drops,785 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Ibuprofen
Amoxiphen,Antiviral,Capsule,398 mg,Novo Nordisk A/S,Wound,Prescription,Amoxicillin
Ibuprophen,Antifungal,Inhaler,139 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,Ibuprofen
Metonazole,Antidepressant,Syrup,38 mg,Pfizer Inc.,Fever,Prescription,Metronidazole
Metomycin,Antifungal,Drops,232 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription,Metformin
Dextromycin,Analgesic,Inhaler,988 mg,Bristol-Myers Squibb Company,Wound,Prescription,Azithromycin
Metoprofen,Analgesic,Cream,909 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Metformin
Cefcillin,Antidepressant,Inhaler,540 mg,Pfizer Inc.,Wound,Prescription,Cefixime
Amoxistatin,Antibiotic,Injection,860 mg,Roche Holding AG,Depression,Over-the-Counter,Amoxicillin
Ibuprophen,Antiseptic,Drops,400 mg,Novartis AG,Wound,Over-the-Counter,Ibuprofen
Cefmycin,Antibiotic,Cream,597 mg,Amgen Inc.,Depression,Over-the-Counter,Ceftriaxone
Amoxiphen,Antibiotic,Drops,117 mg,Sanofi S.A.,Pain,Over-the-Counter,Amoxicillin
Cefprofen,Antiseptic,Cream,472 mg,Amgen Inc.,Virus,Over-the-Counter,Cefixime
Cefmycin,Antifungal,Inhaler,15 mg,AstraZeneca plc,Virus,Prescription,Ceftriaxone
Dextromycin,Antipyretic,Inhaler,640 mg,Sanofi S.A.,Depression,Over-the-Counter,Azithromycin
Cefnazole,Antifungal,Injection,250 mg,Johnson & Johnson,Wound,Over-the-Counter,Cefixime
Amoxicillin,Antidepressant,Capsule,382 mg,Amgen Inc.,Virus,Prescription,Amoxicillin
Metomet,Antidiabetic,Syrup,776 mg,Sanofi S.A.,Depression,Prescription,Metformin
Dolovir,Antibiotic,Syrup,413 mg,Eli Lilly and Company,Wound,Prescription,Paracetamol
Metonazole,Antidepressant,Inhaler,315 mg,GlaxoSmithKline plc,Pain,Prescription,Metronidazole
Clarimycin,Antipyretic,Tablet,199 mg,"Merck & Co., Inc.",Pain,Prescription,Clarithromycin
Dolovir,Antiseptic,Inhaler,982 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,Paracetamol
Ibuprostatin,Antiseptic,Capsule,253 mg,Johnson & Johnson,Fungus,Over-the-Counter,Ibuprofen
Claristatin,Antidepressant,Syrup,39 mg,Sanofi S.A.,Wound,Prescription,Clarithromycin
Dextronazole,Antifungal,Tablet,565 mg,Eli Lilly and Company,Fever,Over-the-Counter,Metronidazole
Ibupronazole,Antifungal,Ointment,894 mg,Sanofi S.A.,Depression,Over-the-Counter,Ibuprofen
Acetomet,Analgesic,Syrup,172 mg,Bristol-Myers Squibb Company,Depression,Prescription,Paracetamol
Acetomycin,Antidiabetic,Syrup,540 mg,AbbVie Inc.,Virus,Prescription,Amoxicillin
Dolomet,Antidepressant,Syrup,510 mg,Novartis AG,Infection,Over-the-Counter,Paracetamol
Dolonazole,Antiseptic,Capsule,271 mg,Novo Nordisk A/S,Diabetes,Prescription,Metronidazole
Dextromycin,Analgesic,Ointment,113 mg,"Gilead Sciences, Inc.",Depression,Prescription,Azithromycin
Clarimet,Antipyretic,Capsule,50 mg,Roche Holding AG,Infection,Prescription,Clarithromycin
Dextrocillin,Antifungal,Capsule,110 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Amoxicillin
Ibuprovir,Antipyretic,Tablet,162 mg,Novo Nordisk A/S,Depression,Prescription,Ibuprofen
Dolomet,Antiviral,Cream,938 mg,"Gilead Sciences, Inc.",Virus,Prescription,Paracetamol
Cefphen,Antipyretic,Cream,833 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,Cefixime
Metoprofen,Antidepressant,Tablet,155 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,Metformin
Cefstatin,Analgesic,Ointment,919 mg,AstraZeneca plc,Infection,Over-the-Counter,Cefixime
Acetophen,Antifungal,Tablet,349 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Paracetamol
Metostatin,Antidepressant,Injection,368 mg,GlaxoSmithKline plc,Pain,Prescription,Metformin
Clariprofen,Antidepressant,Drops,952 mg,Amgen Inc.,Virus,Over-the-Counter,Clarithromycin
Ibupronazole,Antifungal,Injection,605 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,Ibuprofen
Amoxiprofen,Antipyretic,Injection,129 mg,Bayer AG,Diabetes,Prescription,Amoxicillin
Amoximet,Antiseptic,Capsule,221 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,Amoxicillin
Ibuproprofen,Antifungal,Injection,596 mg,Biogen Inc.,Virus,Prescription,Ibuprofen
Clariprofen,Antibiotic,Inhaler,817 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Clarithromycin
Ibupromycin,Antidiabetic,Syrup,570 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,Azithromycin
Ibupromycin,Antifungal,Tablet,845 mg,Bayer AG,Depression,Over-the-Counter,Azithromycin
Clariphen,Antibiotic,Inhaler,260 mg,"Merck & Co., Inc.",Wound,Prescription,Clarithromycin
Dolophen,Antiseptic,Tablet,833 mg,Amgen Inc.,Fever,Prescription,Paracetamol
Metomet,Antidepressant,Drops,426 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription,Metformin
Cefmycin,Antidiabetic,Drops,483 mg,Johnson & Johnson,Fever,Prescription,Ceftriaxone
Amoxinazole,Analgesic,Syrup,972 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,Amoxicillin
Acetomet,Antipyretic,Cream,492 mg,Pfizer Inc.,Diabetes,Prescription,Paracetamol
Metomycin,Antifungal,Capsule,514 mg,"Merck & Co., Inc.",Virus,Prescription,Metformin
Ibupromet,Antiseptic,Tablet,330 mg,Sanofi S.A.,Depression,Prescription,Ibuprofen
Cefnazole,Analgesic,Syrup,659 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter,Cefixime
Amoxistatin,Antiseptic,Drops,928 mg,AbbVie Inc.,Diabetes,Over-the-Counter,Amoxicillin
Metomet,Antiseptic,Inhaler,527 mg,AbbVie Inc.,Fever,Prescription,Metformin
Dextromycin,Analgesic,Injection,2 mg,Roche Holding AG,Virus,Over-the-Counter,Azithromycin
Amoxinazole,Antibiotic,Ointment,78 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,Amoxicillin
Ibupronazole,Antipyretic,Inhaler,328 mg,AstraZeneca plc,Infection,Prescription,Ibuprofen
Dextromet,Analgesic,Capsule,650 mg,Boehringer Ingelheim GmbH,Virus,Prescription,Dextromethorphan
Claristatin,Antidiabetic,Injection,704 mg,Novo Nordisk A/S,Infection,Over-the-Counter,Clarithromycin
Amoxiphen,Antiseptic,Capsule,782 mg,CSL Limited,Depression,Prescription,Amoxicillin
Cefcillin,Antiviral,Drops,602 mg,Novartis AG,Diabetes,Prescription,Cefixime
Acetophen,Antiviral,Syrup,289 mg,AstraZeneca plc,Wound,Over-the-Counter,Paracetamol
Clarimycin,Antiviral,Cream,329 mg,AstraZeneca plc,Depression,Over-the-Counter,Clarithromycin
Metophen,Antifungal,Ointment,978 mg,Johnson & Johnson,Virus,Prescription,Metformin
Dolonazole,Antiseptic,Syrup,824 mg,Johnson & Johnson,Depression,Prescription,Metronidazole
Cefcillin,Antiviral,Capsule,147 mg,Bayer AG,Fungus,Prescription,Cefixime
Metovir,Antiseptic,Tablet,17 mg,"Gilead Sciences, Inc.",Depression,Prescription,Metformin
Amoxivir,Antidiabetic,Inhaler,631 mg,Pfizer Inc.,Fungus,Prescription,Amoxicillin
Metomet,Antidepressant,Syrup,37 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription,Metformin
Ibupronazole,Antiviral,Cream,724 mg,AstraZeneca plc,Fever,Prescription,Ibuprofen
Dextrocillin,Antiseptic,Capsule,35 mg,"Gilead Sciences, Inc.",Virus,Prescription,Amoxicillin
Cefmet,Antiviral,Tablet,935 mg,Johnson & Johnson,Infection,Over-the-Counter,Cefixime
Cefnazole,Analgesic,Ointment,957 mg,Novo Nordisk A/S,Diabetes,Prescription,Cefixime
Metovir,Analgesic,Injection,233 mg,Eli Lilly and Company,Depression,Over-the-Counter,Metformin
Acetophen,Analgesic,Ointment,919 mg,GlaxoSmithKline plc,Fever,Prescription,Paracetamol
Cefprofen,Antipyretic,Drops,47 mg,Biogen Inc.,Infection,Prescription,Cefixime
Ibuprovir,Antifungal,Syrup,691 mg,Novartis AG,Fever,Over-the-Counter,Ibuprofen
Cefstatin,Antifungal,Syrup,74 mg,AbbVie Inc.,Infection,Prescription,Cefixime
Cefmet,Antidiabetic,Tablet,408 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,Cefixime
Cefphen,Antibiotic,Capsule,744 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Cefixime
Clarivir,Antipyretic,Syrup,510 mg,Bayer AG,Pain,Over-the-Counter,Clarithromycin
Dextrovir,Analgesic,Ointment,600 mg,Novartis AG,Diabetes,Prescription,Dextromethorphan
Acetostatin,Antiviral,Drops,107 mg,CSL Limited,Infection,Prescription,Paracetamol
Dolomycin,Antifungal,Capsule,655 mg,AbbVie Inc.,Pain,Prescription,Amoxicillin
Doloprofen,Antidiabetic,Tablet,871 mg,Bayer AG,Fungus,Over-the-Counter,Ibuprofen
Dolostatin,Antifungal,Capsule,926 mg,Roche Holding AG,Pain,Prescription,Ibuprofen
Dextromycin,Analgesic,Cream,621 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter,Azithromycin
Clarinazole,Antibiotic,Tablet,283 mg,Sanofi S.A.,Fever,Over-the-Counter,Clarithromycin
Acetomet,Antifungal,Ointment,508 mg,Pfizer Inc.,Virus,Over-the-Counter,Paracetamol
Amoxinazole,Antifungal,Syrup,999 mg,Amgen Inc.,Virus,Prescription,Amoxicillin
Cefstatin,Analgesic,Drops,36 mg,Novartis AG,Fungus,Over-the-Counter,Cefixime
Dextrocillin,Antifungal,Capsule,132 mg,Novartis AG,Infection,Over-the-Counter,Amoxicillin
Metovir,Antiseptic,Inhaler,652 mg,Novo Nordisk A/S,Fungus,Over-the-Counter,Metformin
Cefstatin,Antidepressant,Injection,58 mg,CSL Limited,Infection,Prescription,Cefixime
Dextromet,Antifungal,Cream,132 mg,Pfizer Inc.,Fever,Over-the-Counter,Dextromethorphan
Dolonazole,Antiviral,Ointment,984 mg,Biogen Inc.,Fungus,Over-the-Counter,Metronidazole
Cefcillin,Antidiabetic,Capsule,869 mg,Roche Holding AG,Diabetes,Over-the-Counter,Cefixime
Metonazole,Antiseptic,Syrup,749 mg,"Merck & Co., Inc.",Virus,Prescription,Metronidazole
Acetocillin,Antiviral,Syrup,314 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,Paracetamol
Amoxinazole,Antibiotic,Injection,733 mg,Roche Holding AG,Wound,Prescription,Amoxicillin
Clariphen,Antidepressant,Injection,368 mg,CSL Limited,Fungus,Over-the-Counter,Clarithromycin
Dextromycin,Antipyretic,Inhaler,765 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,Azithromycin
Metocillin,Antibiotic,Capsule,889 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter,Metformin
Cefcillin,Antiseptic,Drops,385 mg,Biogen Inc.,Pain,Prescription,Cefixime
Dolocillin,Antifungal,Cream,838 mg,Biogen Inc.,Virus,Over-the-Counter,Ibuprofen
Metomet,Antiseptic,Syrup,788 mg,Novartis AG,Pain,Prescription,Metformin
Clarimet,Antiseptic,Injection,676 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,Clarithromycin
Cefmycin,Antipyretic,Inhaler,207 mg,AstraZeneca plc,Fungus,Over-the-Counter,Ceftriaxone
Clariprofen,Analgesic,Inhaler,747 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,Clarithromycin
Ibupromet,Antipyretic,Capsule,779 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,Ibuprofen
Amoxinazole,Antidepressant,Drops,269 mg,Amgen Inc.,Virus,Over-the-Counter,Amoxicillin
Dextromet,Analgesic,Inhaler,589 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter,Dextromethorphan
Claricillin,Antiseptic,Capsule,701 mg,"Gilead Sciences, Inc.",Fungus,Prescription,Clarithromycin
Cefmet,Analgesic,Injection,288 mg,Roche Holding AG,Pain,Prescription,Cefixime
Clariphen,Antifungal,Syrup,319 mg,CSL Limited,Wound,Prescription,Clarithromycin
Amoximycin,Antidiabetic,Drops,165 mg,"Merck & Co., Inc.",Virus,Prescription,Amoxicillin
Dolomycin,Antipyretic,Tablet,906 mg,Bristol-Myers Squibb Company,Virus,Prescription,Amoxicillin
Ibuprophen,Antidiabetic,Capsule,405 mg,Roche Holding AG,Fungus,Over-the-Counter,Ibuprofen
Amoxicillin,Antifungal,Ointment,418 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter,Amoxicillin
Amoxicillin,Analgesic,Injection,757 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Amoxicillin
Acetostatin,Antiviral,Ointment,257 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Paracetamol
Ibuproprofen,Antifungal,Inhaler,637 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Ibuprofen
Ibuprovir,Antidiabetic,Drops,20 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,Ibuprofen
Metocillin,Antipyretic,Injection,287 mg,Novo Nordisk A/S,Fungus,Over-the-Counter,Metformin
Acetoprofen,Antidepressant,Injection,315 mg,AstraZeneca plc,Fever,Prescription,Ibuprofen
Dextroprofen,Antidiabetic,Injection,373 mg,Amgen Inc.,Infection,Over-the-Counter,Ibuprofen
Ibuprostatin,Antidepressant,Ointment,540 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter,Ibuprofen
Claricillin,Antipyretic,Ointment,62 mg,Bayer AG,Depression,Prescription,Clarithromycin
Clariphen,Antiseptic,Drops,7 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,Clarithromycin
Cefmet,Antiseptic,Inhaler,823 mg,"Gilead Sciences, Inc.",Fungus,Prescription,Cefixime
Metocillin,Analgesic,Capsule,640 mg,Sanofi S.A.,Wound,Over-the-Counter,Metformin
Dolostatin,Antifungal,Ointment,923 mg,AstraZeneca plc,Diabetes,Prescription,Ibuprofen
Amoxivir,Antidiabetic,Inhaler,787 mg,Eli Lilly and Company,Fever,Over-the-Counter,Amoxicillin
Acetophen,Antidepressant,Cream,602 mg,Eli Lilly and Company,Virus,Prescription,Paracetamol
Metocillin,Antifungal,Capsule,14 mg,Eli Lilly and Company,Pain,Over-the-Counter,Metformin
Dextroprofen,Antiseptic,Drops,735 mg,"Merck & Co., Inc.",Depression,Prescription,Ibuprofen
Acetomycin,Antipyretic,Cream,298 mg,Sanofi S.A.,Virus,Over-the-Counter,Amoxicillin
Claricillin,Antidepressant,Ointment,826 mg,Bayer AG,Infection,Over-the-Counter,Clarithromycin
Metostatin,Antiviral,Syrup,566 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Metformin
