Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Metovir,Antiseptic,Drops,468 mg,Biogen Inc.,Fever,Over-the-Counter
Ibuprophen,Antibiotic,Drops,335 mg,Sanofi S.A.,Diabetes,Prescription
Amoxicillin,Antiseptic,Tablet,118 mg,Novartis AG,Fever,Prescription
Dolonazole,Antiseptic,Inhaler,522 mg,CSL Limited,Fever,Over-the-Counter
Dextrovir,Antidepressant,Capsule,192 mg,Amgen Inc.,Fungus,Over-the-Counter
Ibupromet,Antidiabetic,Syrup,192 mg,Bayer AG,Infection,Over-the-Counter
Cefphen,Antidepressant,Syrup,272 mg,Bayer AG,Infection,Prescription
Dextromet,Antiseptic,Capsule,753 mg,AbbVie Inc.,Fungus,Over-the-Counter
Dextrovir,Antifungal,Tablet,932 mg,Biogen Inc.,Pain,Over-the-Counter
Claricillin,Antiviral,Capsule,33 mg,Amgen Inc.,Virus,Prescription
Cefprofen,Antidiabetic,Ointment,802 mg,Bayer AG,Fever,Prescription
Dextrovir,Antibiotic,Syrup,699 mg,Novartis AG,Wound,Over-the-Counter
Clariphen,Antibiotic,Syrup,446 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Cefmycin,Antiviral,Cream,698 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Amoxistatin,Antifungal,Ointment,426 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Acetomycin,Antidepressant,Inhaler,652 mg,AbbVie Inc.,Fungus,Over-the-Counter
Acetonazole,Antiseptic,Drops,294 mg,Pfizer Inc.,Wound,Over-the-Counter
Ibuprostatin,Antidiabetic,Inhaler,701 mg,AbbVie Inc.,Fever,Over-the-Counter
Cefprofen,Antibiotic,Drops,660 mg,Sanofi S.A.,Fever,Over-the-Counter
Ibupronazole,Antidiabetic,Capsule,735 mg,Roche Holding AG,Fungus,Prescription
Amoxiprofen,Antibiotic,Inhaler,396 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Ibuprostatin,Antifungal,Ointment,826 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Amoxiphen,Antifungal,Syrup,292 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Ibupronazole,Antidiabetic,Inhaler,310 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Ibupromet,Antibiotic,Drops,919 mg,Biogen Inc.,Depression,Prescription
Dextromycin,Antipyretic,Tablet,438 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Dextrocillin,Antidepressant,Drops,498 mg,Bayer AG,Diabetes,Over-the-Counter
Amoxivir,Antifungal,Syrup,765 mg,"Merck & Co., Inc.",Fungus,Prescription
Doloprofen,Antipyretic,Cream,581 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Amoxivir,Antibiotic,Injection,106 mg,CSL Limited,Virus,Over-the-Counter
Acetomet,Analgesic,Drops,96 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Acetocillin,Analgesic,Ointment,679 mg,Eli Lilly and Company,Wound,Prescription
Ibupromycin,Antibiotic,Cream,788 mg,Pfizer Inc.,Depression,Over-the-Counter
Doloprofen,Antiviral,Inhaler,801 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Dolocillin,Antibiotic,Syrup,626 mg,Biogen Inc.,Diabetes,Over-the-Counter
Acetophen,Antidepressant,Drops,811 mg,Pfizer Inc.,Pain,Over-the-Counter
Dolocillin,Antidiabetic,Tablet,33 mg,AstraZeneca plc,Virus,Prescription
Acetomet,Antibiotic,Injection,668 mg,Biogen Inc.,Virus,Over-the-Counter
Cefmycin,Antifungal,Syrup,285 mg,"Merck & Co., Inc.",Depression,Prescription
Clarivir,Antipyretic,Capsule,256 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Metovir,Antiseptic,Tablet,447 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Metomycin,Antifungal,Syrup,796 mg,Pfizer Inc.,Wound,Prescription
Cefvir,Antifungal,Tablet,796 mg,"Merck & Co., Inc.",Fever,Prescription
Dolostatin,Antidiabetic,Syrup,260 mg,"Gilead Sciences, Inc.",Depression,Prescription
Ibupromycin,Analgesic,Inhaler,348 mg,Novartis AG,Virus,Over-the-Counter
Dextrostatin,Antifungal,Injection,371 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Amoxicillin,Antiseptic,Syrup,285 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Cefvir,Analgesic,Ointment,979 mg,AstraZeneca plc,Pain,Prescription
Cefnazole,Antifungal,Cream,470 mg,CSL Limited,Virus,Prescription
Acetocillin,Antidepressant,Drops,252 mg,Bristol-Myers Squibb Company,Virus,Prescription
Dextronazole,Analgesic,Cream,975 mg,AbbVie Inc.,Pain,Over-the-Counter
Ibuprophen,Analgesic,Drops,278 mg,Bayer AG,Diabetes,Over-the-Counter
Acetophen,Antibiotic,Ointment,141 mg,Bayer AG,Fever,Prescription
Dolovir,Antibiotic,Inhaler,488 mg,Eli Lilly and Company,Pain,Over-the-Counter
Clarivir,Analgesic,Drops,41 mg,Johnson & Johnson,Fever,Prescription
Dextrocillin,Antifungal,Injection,905 mg,Novartis AG,Depression,Over-the-Counter
Amoxicillin,Antipyretic,Injection,919 mg,Biogen Inc.,Virus,Prescription
Dolomet,Antidiabetic,Injection,502 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Claristatin,Antiviral,Injection,741 mg,Amgen Inc.,Infection,Prescription
Cefprofen,Antifungal,Inhaler,990 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Acetomycin,Antiseptic,Cream,668 mg,Pfizer Inc.,Fungus,Prescription
Clariphen,Analgesic,Drops,602 mg,Amgen Inc.,Diabetes,Prescription
Ibupromet,Antidepressant,Drops,458 mg,Roche Holding AG,Fungus,Prescription
Clarimet,Antipyretic,Inhaler,38 mg,AbbVie Inc.,Fungus,Prescription
Ibuprovir,Antiviral,Injection,54 mg,Bristol-Myers Squibb Company,Depression,Prescription
Cefphen,Antidepressant,Injection,365 mg,Amgen Inc.,Virus,Over-the-Counter
Dextrovir,Antifungal,Cream,191 mg,"Gilead Sciences, Inc.",Infection,Prescription
Acetomycin,Antidiabetic,Inhaler,334 mg,Biogen Inc.,Depression,Prescription
Clarimet,Antiseptic,Syrup,92 mg,Sanofi S.A.,Fungus,Prescription
Ibupronazole,Analgesic,Cream,70 mg,Biogen Inc.,Depression,Prescription
Metophen,Antiseptic,Injection,802 mg,AstraZeneca plc,Fever,Prescription
Dolophen,Antidepressant,Syrup,37 mg,Biogen Inc.,Wound,Prescription
Acetomet,Antipyretic,Cream,304 mg,AbbVie Inc.,Wound,Prescription
Acetovir,Antifungal,Inhaler,126 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dextroprofen,Antiseptic,Ointment,55 mg,AbbVie Inc.,Pain,Over-the-Counter
Metoprofen,Analgesic,Cream,221 mg,Amgen Inc.,Fever,Prescription
Ibupromet,Antipyretic,Syrup,988 mg,Biogen Inc.,Virus,Prescription
Ibupromycin,Antiseptic,Drops,517 mg,AstraZeneca plc,Infection,Prescription
Ibuproprofen,Antiviral,Inhaler,916 mg,AstraZeneca plc,Diabetes,Prescription
Claricillin,Antipyretic,Capsule,759 mg,AstraZeneca plc,Pain,Prescription
Amoxivir,Antipyretic,Ointment,245 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Metocillin,Antiviral,Drops,887 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Clarimet,Antifungal,Tablet,730 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Cefphen,Analgesic,Drops,154 mg,Sanofi S.A.,Depression,Over-the-Counter
Acetonazole,Analgesic,Capsule,796 mg,AstraZeneca plc,Depression,Over-the-Counter
Cefvir,Antiviral,Inhaler,669 mg,GlaxoSmithKline plc,Infection,Prescription
Dolomycin,Analgesic,Ointment,613 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Cefcillin,Antibiotic,Ointment,633 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetostatin,Analgesic,Cream,9 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Ibupromycin,Antifungal,Tablet,649 mg,GlaxoSmithKline plc,Fever,Prescription
Dextrophen,Antidiabetic,Cream,168 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Dextronazole,Analgesic,Tablet,284 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Dolomet,Analgesic,Cream,994 mg,Amgen Inc.,Diabetes,Over-the-Counter
Cefmet,Analgesic,Syrup,839 mg,Amgen Inc.,Diabetes,Over-the-Counter
Cefvir,Antidepressant,Inhaler,436 mg,Sanofi S.A.,Virus,Prescription
Acetocillin,Analgesic,Capsule,24 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dolomet,Antipyretic,Inhaler,291 mg,Novartis AG,Fungus,Prescription
Ibuprostatin,Analgesic,Capsule,816 mg,Biogen Inc.,Virus,Over-the-Counter
Dextrophen,Antiseptic,Syrup,343 mg,"Merck & Co., Inc.",Fever,Prescription
Cefmet,Antidiabetic,Capsule,176 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Cefmet,Antiseptic,Syrup,176 mg,Pfizer Inc.,Fungus,Prescription
Amoximet,Analgesic,Capsule,388 mg,Pfizer Inc.,Pain,Over-the-Counter
Cefnazole,Antifungal,Ointment,256 mg,GlaxoSmithKline plc,Infection,Prescription
Amoxiphen,Antipyretic,Ointment,217 mg,GlaxoSmithKline plc,Infection,Prescription
Metonazole,Antipyretic,Ointment,610 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Metovir,Antibiotic,Capsule,943 mg,Roche Holding AG,Fungus,Prescription
Dextrocillin,Antipyretic,Syrup,128 mg,"Gilead Sciences, Inc.",Virus,Prescription
Cefphen,Antibiotic,Cream,67 mg,Pfizer Inc.,Infection,Prescription
Claricillin,Antipyretic,Inhaler,327 mg,Bayer AG,Infection,Prescription
Dextroprofen,Antiviral,Tablet,13 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Dolonazole,Antidepressant,Drops,891 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Dextroprofen,Antidepressant,Cream,89 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Ibuprostatin,Antidiabetic,Ointment,646 mg,Bayer AG,Diabetes,Over-the-Counter
Dextromet,Antiseptic,Capsule,523 mg,"Gilead Sciences, Inc.",Pain,Prescription
Cefphen,Antidepressant,Tablet,661 mg,Eli Lilly and Company,Depression,Over-the-Counter
Metoprofen,Analgesic,Syrup,21 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Ibupromycin,Antidepressant,Injection,158 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription
Acetovir,Antiviral,Inhaler,912 mg,"Merck & Co., Inc.",Fungus,Prescription
Dolomycin,Antibiotic,Drops,119 mg,Roche Holding AG,Wound,Over-the-Counter
Cefmycin,Antidiabetic,Drops,162 mg,Bayer AG,Pain,Prescription
Ibupromycin,Antidepressant,Syrup,684 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Cefprofen,Antiviral,Capsule,165 mg,Eli Lilly and Company,Fever,Over-the-Counter
Claristatin,Antipyretic,Injection,433 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Dolophen,Antiseptic,Tablet,975 mg,AstraZeneca plc,Depression,Over-the-Counter
Acetophen,Antibiotic,Inhaler,973 mg,CSL Limited,Fever,Over-the-Counter
Dolovir,Antiseptic,Cream,37 mg,Sanofi S.A.,Fungus,Prescription
Clariprofen,Antibiotic,Inhaler,402 mg,Novartis AG,Wound,Over-the-Counter
Ibuprocillin,Antiviral,Cream,913 mg,Pfizer Inc.,Pain,Prescription
Dextrophen,Antipyretic,Inhaler,753 mg,Biogen Inc.,Fungus,Over-the-Counter
Ibuprophen,Analgesic,Injection,990 mg,AbbVie Inc.,Fungus,Prescription
Ibupromycin,Antiviral,Ointment,105 mg,Roche Holding AG,Fungus,Over-the-Counter
Amoxistatin,Antibiotic,Tablet,720 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Amoxinazole,Antibiotic,Drops,655 mg,Sanofi S.A.,Fungus,Prescription
Acetophen,Analgesic,Capsule,897 mg,CSL Limited,Diabetes,Over-the-Counter
Acetocillin,Analgesic,Cream,594 mg,Novo Nordisk A/S,Diabetes,Prescription
Metostatin,Analgesic,Syrup,159 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Metomet,Antiviral,Capsule,30 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dolocillin,Antiseptic,Drops,319 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Cefstatin,Antipyretic,Cream,968 mg,Pfizer Inc.,Virus,Over-the-Counter
Metovir,Antiviral,Cream,609 mg,Amgen Inc.,Depression,Prescription
Ibuprovir,Antiviral,Capsule,386 mg,Johnson & Johnson,Pain,Prescription
Ibuprovir,Antiviral,Drops,388 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Acetomet,Antiviral,Ointment,246 mg,AbbVie Inc.,Depression,Over-the-Counter
Doloprofen,Antiseptic,Injection,252 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Ibupronazole,Antifungal,Syrup,624 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Metonazole,Antidepressant,Inhaler,429 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Amoxinazole,Antiseptic,Drops,966 mg,Roche Holding AG,Pain,Prescription
Acetoprofen,Antipyretic,Capsule,301 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Cefprofen,Antidiabetic,Drops,122 mg,AstraZeneca plc,Wound,Prescription
Dextrophen,Antifungal,Drops,39 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Acetostatin,Antidiabetic,Syrup,421 mg,AstraZeneca plc,Depression,Prescription
Dextromet,Antifungal,Ointment,975 mg,Biogen Inc.,Diabetes,Over-the-Counter
Ibuproprofen,Antiseptic,Drops,897 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Acetophen,Analgesic,Syrup,475 mg,AbbVie Inc.,Pain,Prescription
Amoxiphen,Antifungal,Drops,857 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Metocillin,Analgesic,Ointment,126 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Acetomycin,Analgesic,Tablet,869 mg,Novartis AG,Fungus,Over-the-Counter
Amoxistatin,Antiseptic,Drops,774 mg,Eli Lilly and Company,Wound,Prescription
Metonazole,Antipyretic,Drops,51 mg,Johnson & Johnson,Infection,Over-the-Counter
Clarivir,Analgesic,Cream,988 mg,CSL Limited,Fever,Prescription
Dextrocillin,Analgesic,Injection,426 mg,AstraZeneca plc,Virus,Prescription
Clariprofen,Antidepressant,Injection,932 mg,GlaxoSmithKline plc,Fever,Prescription
Cefmet,Antidiabetic,Drops,530 mg,AbbVie Inc.,Fever,Over-the-Counter
Dolonazole,Antiseptic,Inhaler,404 mg,GlaxoSmithKline plc,Diabetes,Prescription
Ibupronazole,Analgesic,Ointment,983 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Clarinazole,Antidepressant,Capsule,236 mg,Eli Lilly and Company,Depression,Over-the-Counter
Ibupromet,Antidepressant,Tablet,571 mg,AbbVie Inc.,Pain,Over-the-Counter
Dextrovir,Antifungal,Inhaler,827 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Dextromet,Antidiabetic,Inhaler,926 mg,"Gilead Sciences, Inc.",Virus,Prescription
Ibuproprofen,Antiseptic,Inhaler,863 mg,GlaxoSmithKline plc,Fungus,Prescription
Dolocillin,Analgesic,Cream,587 mg,Novo Nordisk A/S,Fever,Prescription
Acetovir,Antiseptic,Inhaler,599 mg,AbbVie Inc.,Depression,Prescription
Acetonazole,Antidepressant,Syrup,931 mg,Johnson & Johnson,Depression,Over-the-Counter
Ibupromet,Antiseptic,Ointment,752 mg,Sanofi S.A.,Pain,Over-the-Counter
Clarinazole,Antidepressant,Capsule,163 mg,CSL Limited,Pain,Over-the-Counter
Amoxinazole,Antipyretic,Capsule,686 mg,Biogen Inc.,Wound,Over-the-Counter
Dextromycin,Antibiotic,Ointment,99 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Clarivir,Antiseptic,Tablet,829 mg,Pfizer Inc.,Fever,Prescription
Clarinazole,Antidiabetic,Inhaler,806 mg,Biogen Inc.,Pain,Over-the-Counter
Dextrophen,Antidepressant,Ointment,510 mg,Bayer AG,Infection,Over-the-Counter
Acetomet,Antidiabetic,Syrup,633 mg,Amgen Inc.,Pain,Over-the-Counter
Dolomet,Antidepressant,Drops,136 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Dextrophen,Antipyretic,Syrup,128 mg,Bayer AG,Virus,Prescription
Ibuproprofen,Antiseptic,Tablet,882 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Acetonazole,Antiseptic,Capsule,242 mg,Eli Lilly and Company,Virus,Over-the-Counter
Amoximet,Antibiotic,Drops,8 mg,Novartis AG,Wound,Prescription
Dolonazole,Antifungal,Cream,591 mg,Novartis AG,Wound,Prescription
Dextronazole,Antibiotic,Drops,796 mg,"Merck & Co., Inc.",Wound,Prescription
Metomet,Antiviral,Tablet,583 mg,AstraZeneca plc,Depression,Prescription
Cefphen,Antidiabetic,Capsule,493 mg,Bristol-Myers Squibb Company,Pain,Prescription
Amoxiprofen,Antiseptic,Drops,154 mg,"Merck & Co., Inc.",Wound,Prescription
Cefvir,Analgesic,Syrup,189 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Amoxinazole,Antidepressant,Cream,76 mg,Johnson & Johnson,Infection,Over-the-Counter
Amoximycin,Antifungal,Syrup,79 mg,Roche Holding AG,Pain,Over-the-Counter
Dextronazole,Antiviral,Tablet,225 mg,Amgen Inc.,Virus,Over-the-Counter
Dolocillin,Antipyretic,Capsule,353 mg,Biogen Inc.,Diabetes,Prescription
Clarinazole,Antidepressant,Ointment,110 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Cefphen,Antiseptic,Ointment,162 mg,Bayer AG,Depression,Prescription
Acetovir,Antidepressant,Syrup,328 mg,Amgen Inc.,Wound,Over-the-Counter
Acetonazole,Antidepressant,Capsule,8 mg,Bayer AG,Fever,Prescription
Clariphen,Antidepressant,Syrup,953 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Amoxiprofen,Antifungal,Injection,501 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Amoxicillin,Analgesic,Injection,253 mg,AstraZeneca plc,Pain,Over-the-Counter
Metostatin,Antifungal,Injection,630 mg,Sanofi S.A.,Fever,Over-the-Counter
Ibuproprofen,Antipyretic,Drops,84 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Dextromet,Antiseptic,Syrup,779 mg,Eli Lilly and Company,Virus,Over-the-Counter
Ibupromet,Antiviral,Tablet,720 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Ibupronazole,Antibiotic,Syrup,9 mg,Bayer AG,Infection,Prescription
Dextrovir,Antiseptic,Tablet,616 mg,Roche Holding AG,Wound,Over-the-Counter
Ibupronazole,Antibiotic,Drops,844 mg,Eli Lilly and Company,Depression,Prescription
Cefmet,Antiseptic,Ointment,560 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dextrocillin,Analgesic,Injection,254 mg,Biogen Inc.,Wound,Prescription
Dextromet,Antidepressant,Injection,537 mg,Bayer AG,Virus,Over-the-Counter
Acetocillin,Antidepressant,Drops,25 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Claristatin,Antidepressant,Cream,724 mg,Johnson & Johnson,Pain,Over-the-Counter
Cefstatin,Analgesic,Drops,185 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefvir,Antidiabetic,Drops,846 mg,"Merck & Co., Inc.",Wound,Prescription
Dextrostatin,Antidiabetic,Ointment,151 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Ibuprovir,Antifungal,Capsule,353 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Ibupromet,Antifungal,Inhaler,749 mg,Biogen Inc.,Fever,Over-the-Counter
Metonazole,Antiviral,Drops,564 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Metonazole,Antipyretic,Inhaler,704 mg,AbbVie Inc.,Virus,Over-the-Counter
Metophen,Antiviral,Tablet,495 mg,Biogen Inc.,Pain,Prescription
Amoximet,Antifungal,Capsule,216 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Cefnazole,Analgesic,Ointment,37 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Clarivir,Antifungal,Drops,454 mg,Bayer AG,Fungus,Over-the-Counter
Dolophen,Antipyretic,Cream,808 mg,Bayer AG,Pain,Prescription
Amoxiprofen,Antipyretic,Tablet,960 mg,Bayer AG,Fever,Prescription
Dextrocillin,Antibiotic,Capsule,182 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Ibuproprofen,Antiviral,Drops,260 mg,Sanofi S.A.,Virus,Over-the-Counter
Clariprofen,Analgesic,Injection,765 mg,"Merck & Co., Inc.",Fungus,Prescription
Dextronazole,Antiviral,Cream,27 mg,Eli Lilly and Company,Diabetes,Prescription
Dextromet,Antiseptic,Tablet,706 mg,Roche Holding AG,Virus,Over-the-Counter
Dextronazole,Antibiotic,Cream,55 mg,Bristol-Myers Squibb Company,Fever,Prescription
Dolomet,Analgesic,Syrup,27 mg,Eli Lilly and Company,Diabetes,Prescription
Cefnazole,Antifungal,Capsule,937 mg,Johnson & Johnson,Virus,Over-the-Counter
Ibupromycin,Antibiotic,Syrup,247 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Acetomycin,Antidiabetic,Ointment,535 mg,Sanofi S.A.,Fever,Over-the-Counter
Ibupronazole,Antidiabetic,Capsule,139 mg,Novartis AG,Virus,Prescription
Clariphen,Antifungal,Syrup,509 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Acetovir,Antidiabetic,Inhaler,980 mg,Amgen Inc.,Wound,Prescription
Metophen,Antiseptic,Drops,921 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Metoprofen,Antidiabetic,Cream,753 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Clariphen,Antifungal,Tablet,971 mg,Johnson & Johnson,Wound,Over-the-Counter
Dextrocillin,Antidepressant,Inhaler,940 mg,Novartis AG,Fever,Over-the-Counter
Acetocillin,Antiseptic,Tablet,132 mg,"Merck & Co., Inc.",Pain,Prescription
Acetovir,Antibiotic,Ointment,990 mg,AstraZeneca plc,Diabetes,Prescription
Ibupromycin,Antidepressant,Tablet,710 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dolophen,Antidiabetic,Drops,798 mg,Biogen Inc.,Depression,Prescription
Amoximet,Analgesic,Inhaler,548 mg,CSL Limited,Fungus,Over-the-Counter
Metovir,Antifungal,Syrup,79 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Cefcillin,Antiseptic,Cream,492 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Clarivir,Antibiotic,Inhaler,478 mg,Bayer AG,Wound,Prescription
Metophen,Antipyretic,Syrup,2 mg,"Gilead Sciences, Inc.",Pain,Prescription
Amoxistatin,Antiviral,Syrup,261 mg,Bayer AG,Diabetes,Prescription
Doloprofen,Antibiotic,Tablet,795 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Dolomycin,Antiseptic,Ointment,908 mg,Sanofi S.A.,Fever,Prescription
Clariprofen,Antidepressant,Drops,141 mg,Johnson & Johnson,Pain,Over-the-Counter
Cefcillin,Antidepressant,Tablet,321 mg,Bayer AG,Wound,Over-the-Counter
Dextrostatin,Antifungal,Injection,457 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Dolomet,Antiseptic,Syrup,917 mg,Johnson & Johnson,Pain,Prescription
Dextromycin,Antiviral,Syrup,482 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Acetomycin,Antipyretic,Tablet,614 mg,Pfizer Inc.,Infection,Over-the-Counter
Dolostatin,Analgesic,Capsule,27 mg,Johnson & Johnson,Pain,Prescription
Clariphen,Antifungal,Cream,55 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Cefprofen,Antipyretic,Drops,476 mg,AbbVie Inc.,Fever,Over-the-Counter
Ibupronazole,Analgesic,Drops,247 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Dextrovir,Antidepressant,Drops,713 mg,Pfizer Inc.,Virus,Over-the-Counter
Metomet,Antipyretic,Cream,281 mg,Eli Lilly and Company,Virus,Over-the-Counter
Ibupromet,Antiseptic,Tablet,987 mg,GlaxoSmithKline plc,Pain,Prescription
Clarinazole,Antipyretic,Injection,251 mg,Roche Holding AG,Pain,Over-the-Counter
Dextroprofen,Antifungal,Inhaler,975 mg,Bayer AG,Wound,Prescription
Dolomycin,Antifungal,Injection,64 mg,AbbVie Inc.,Pain,Prescription
Claricillin,Antiseptic,Ointment,209 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dolophen,Antidepressant,Injection,174 mg,Bristol-Myers Squibb Company,Infection,Prescription
Amoxivir,Analgesic,Capsule,966 mg,"Merck & Co., Inc.",Wound,Prescription
Dolomet,Antidiabetic,Capsule,903 mg,Bayer AG,Depression,Prescription
Amoxivir,Antipyretic,Drops,42 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Cefmycin,Antidepressant,Syrup,190 mg,Eli Lilly and Company,Wound,Prescription
Dextrocillin,Antipyretic,Injection,847 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Dextroprofen,Antidepressant,Syrup,9 mg,Amgen Inc.,Diabetes,Over-the-Counter
Clariprofen,Antiseptic,Injection,699 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Dextrophen,Antidepressant,Ointment,773 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Dolovir,Antidiabetic,Drops,54 mg,Novartis AG,Pain,Over-the-Counter
Ibupronazole,Antiseptic,Tablet,760 mg,Amgen Inc.,Infection,Prescription
Ibupromet,Antifungal,Ointment,717 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Acetophen,Analgesic,Drops,932 mg,Biogen Inc.,Fungus,Prescription
Metomycin,Antipyretic,Syrup,24 mg,AbbVie Inc.,Pain,Prescription
Dolocillin,Antibiotic,Inhaler,59 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Dolonazole,Analgesic,Ointment,819 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Dextroprofen,Analgesic,Inhaler,341 mg,Bristol-Myers Squibb Company,Wound,Prescription
Cefphen,Antipyretic,Inhaler,92 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Amoxinazole,Antidiabetic,Drops,963 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Clarimycin,Antidiabetic,Tablet,935 mg,Johnson & Johnson,Infection,Over-the-Counter
Claricillin,Analgesic,Injection,347 mg,Amgen Inc.,Depression,Over-the-Counter
Metonazole,Antidiabetic,Ointment,125 mg,CSL Limited,Pain,Prescription
Acetocillin,Antipyretic,Drops,829 mg,Novartis AG,Wound,Prescription
Dextromycin,Antiseptic,Cream,413 mg,Bristol-Myers Squibb Company,Depression,Prescription
Amoximycin,Antibiotic,Ointment,320 mg,Pfizer Inc.,Fever,Prescription
Dolonazole,Antipyretic,Ointment,969 mg,Amgen Inc.,Infection,Over-the-Counter
